epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,368.995,0.82995,0.4606,0.2335,0.52692,0.959,0.98583,1,0.995,0.64146,0.81596,0.83333,0.76995,0.76995,1.30779,1.28701,0.04696,0.61595,1.05447,0.000267732,0.000267732,0.000267732
95,372.66,1.04433,0.6324,0.32821,0.65141,1.08044,0.98967,1,0.995,0.75358,0.907,0.91667,0.90965,0.87123,0.8723,0.92376,0.03784,0.51723,0.90622,0.000265235,0.000265235,0.000265235
96,376.328,0.96461,0.30383,0.33407,0.70949,1.09933,0.98967,1,0.995,0.75358,0.907,0.91667,0.90965,0.87123,0.8723,0.92376,0.03784,0.51723,0.90622,0.000262738,0.000262738,0.000262738
97,379.962,1.00969,0.26219,0.30059,0.63985,1.02176,0.99621,1,0.995,0.64065,0.91107,0.91667,0.8895,0.87177,1.28144,0.91035,0.04354,0.59553,1.04974,0.00026024,0.00026024,0.00026024
98,383.431,1.01529,0.31081,0.35391,0.59954,1.09592,0.99621,1,0.995,0.64065,0.91107,0.91667,0.8895,0.87177,1.28144,0.91035,0.04354,0.59553,1.04974,0.000257742,0.000257742,0.000257742
99,386.993,0.90394,0.40758,0.35245,0.68687,1.09838,0.99386,1,0.995,0.71563,0.91076,0.91667,0.88521,0.82749,0.87548,0.94331,0.04106,0.51734,0.92035,0.000255245,0.000255245,0.000255245
100,390.621,1.03835,0.27361,0.3241,0.62009,1.03985,0.9945,1,0.995,0.62147,0.91163,0.91667,0.86563,0.83536,1.40907,0.93217,0.0421,0.61788,1.14801,0.000252748,0.000252748,0.000252748
101,394.462,1.11826,0.36181,0.30667,0.69675,1.09886,0.9945,1,0.995,0.62147,0.91163,0.91667,0.86563,0.83536,1.40907,0.93217,0.0421,0.61788,1.14801,0.00025025,0.00025025,0.00025025
102,399.103,0.96312,0.25965,0.26716,0.60377,1.03232,0.99198,1,0.995,0.72833,0.90914,0.91667,0.89011,0.87638,0.9693,0.72777,0.049,0.51067,0.98423,0.000247753,0.000247753,0.000247753
103,402.924,0.98084,0.47803,0.33665,0.63183,1.15346,0.99456,1,0.995,0.6746,0.91168,0.91667,0.90334,0.90334,1.22179,0.79565,0.04188,0.54766,1.03715,0.000245255,0.000245255,0.000245255
