epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1295.18,0.68178,1.52592,0.80593,0.57537,0.92624,0.9962,1,0.995,0.7639,0.91288,0.91667,0.85992,0.57101,0.83546,2.01549,0.16016,0.50074,0.92941,0.0003268,0.0003268,0.0003268
70,1311.54,0.71474,1.64791,0.98763,0.70492,1.01898,0.99576,1,0.995,0.77134,0.91258,0.91667,0.86586,0.57674,0.83722,1.99684,0.16392,0.4911,0.94091,0.0003169,0.0003169,0.0003169
71,1327.75,0.71225,1.47069,0.85694,0.54647,0.91896,0.99544,1,0.995,0.77086,0.91238,0.91667,0.86476,0.54735,0.84655,2.00923,0.17027,0.49276,0.94532,0.000307,0.000307,0.000307
72,1345.21,0.61423,1.53799,0.75804,0.49045,0.86582,0.99544,1,0.995,0.78219,0.91238,0.91667,0.86476,0.54797,0.85956,1.98348,0.17758,0.48654,0.94726,0.0002971,0.0002971,0.0002971
73,1361.53,0.73066,1.4097,0.93651,0.55376,0.9353,0.99544,1,0.995,0.78219,0.91238,0.91667,0.86476,0.54797,0.85956,1.98348,0.17758,0.48654,0.94726,0.0002872,0.0002872,0.0002872
74,1378.61,0.70452,1.43485,0.81302,0.52135,0.96486,0.99543,1,0.995,0.78121,0.91238,0.91667,0.87239,0.55534,0.87293,1.93974,0.18507,0.47433,0.94206,0.0002773,0.0002773,0.0002773
75,1396.81,0.62009,1.2898,0.93498,0.54314,0.95704,0.99541,1,0.995,0.77989,0.91236,0.91667,0.86559,0.53982,0.88032,1.91561,0.20696,0.47841,0.93772,0.0002674,0.0002674,0.0002674
76,1414.01,0.71304,1.11464,0.92863,0.61587,0.93178,0.99548,1,0.995,0.76485,0.8294,0.83333,0.78166,0.52039,0.89363,1.93237,0.23514,0.4917,0.93215,0.0002575,0.0002575,0.0002575
77,1430.07,0.75377,1.45463,0.83645,0.5443,0.96914,0.99548,1,0.995,0.76485,0.8294,0.83333,0.78166,0.52039,0.89363,1.93237,0.23514,0.4917,0.93215,0.0002476,0.0002476,0.0002476
78,1445.9,0.59314,1.43294,0.57,0.49368,0.89529,0.99565,1,0.995,0.76481,0.91259,0.91667,0.87967,0.51348,0.90198,1.88726,0.25602,0.50856,0.93103,0.0002377,0.0002377,0.0002377
79,1462.53,0.60007,1.12071,0.80584,0.50207,0.87469,0.99572,1,0.995,0.76407,0.99572,1,0.995,0.51124,0.90423,1.87603,0.27343,0.51943,0.9302,0.0002278,0.0002278,0.0002278
80,1479.02,0.6577,1.25774,1.02061,0.55229,0.95685,0.99559,1,0.995,0.76897,0.99559,1,0.995,0.51644,0.91795,1.88959,0.28294,0.52146,0.93438,0.0002179,0.0002179,0.0002179
81,1496.04,0.60121,0.99061,0.69152,0.49684,0.88785,0.99559,1,0.995,0.76897,0.99559,1,0.995,0.51644,0.91795,1.88959,0.28294,0.52146,0.93438,0.000208,0.000208,0.000208
82,1513.37,0.6383,0.99778,1.03616,0.5116,0.93288,0.99532,1,0.995,0.75813,0.99532,1,0.995,0.52277,0.92349,1.89469,0.28024,0.53448,0.93653,0.0001981,0.0001981,0.0001981
83,1531.37,0.6596,1.03539,0.92498,0.55381,0.93213,0.99509,1,0.995,0.73024,0.99509,1,0.995,0.54238,0.91322,1.85616,0.28767,0.53355,0.93006,0.0001882,0.0001882,0.0001882
84,1550.63,0.71776,1.32821,0.82889,0.56413,0.96662,0.99536,1,0.995,0.74229,0.99536,1,0.995,0.57147,0.89805,1.81597,0.29004,0.52847,0.91828,0.0001783,0.0001783,0.0001783
85,1568.53,0.54571,1.13862,0.69977,0.48499,0.91749,0.99536,1,0.995,0.74229,0.99536,1,0.995,0.57147,0.89805,1.81597,0.29004,0.52847,0.91828,0.0001684,0.0001684,0.0001684
86,1588.15,0.68777,1.35552,0.92732,0.55455,0.92572,0.99548,1,0.995,0.75438,0.99548,1,0.995,0.60948,0.8905,1.7478,0.28272,0.5205,0.91108,0.0001585,0.0001585,0.0001585
87,1606.87,0.60377,1.53803,1.01742,0.5098,0.88931,0.99531,1,0.995,0.76098,0.99531,1,0.995,0.6327,0.88697,1.71359,0.27789,0.50866,0.91229,0.0001486,0.0001486,0.0001486
88,1624.19,0.6543,1.1599,1.04908,0.53057,0.90519,0.9955,1,0.995,0.76098,0.9955,1,0.995,0.62681,0.87652,1.69083,0.27071,0.49589,0.90941,0.0001387,0.0001387,0.0001387
89,1641.29,0.76345,1.20387,0.8775,0.61293,0.98516,0.9955,1,0.995,0.76098,0.9955,1,0.995,0.62681,0.87652,1.69083,0.27071,0.49589,0.90941,0.0001288,0.0001288,0.0001288
90,1659.07,0.58634,1.08459,0.77569,0.46249,0.89685,0.99545,1,0.995,0.76761,0.91249,0.91667,0.91803,0.61488,0.86087,1.69946,0.2702,0.49236,0.90428,0.0001189,0.0001189,0.0001189
91,1676.37,0.43544,1.37608,0.26755,0.41983,0.82525,0.99556,1,0.995,0.75474,0.91251,0.91667,0.91784,0.62539,0.85248,1.68567,0.25835,0.48092,0.90052,0.000109,0.000109,0.000109
92,1693.86,0.43561,1.45545,0.25939,0.40945,0.81342,0.99555,1,0.995,0.75943,0.91258,0.91667,0.91747,0.61223,0.84104,1.67959,0.25576,0.47797,0.89424,9.91e-05,9.91e-05,9.91e-05
93,1711.28,0.3936,1.19297,0.23351,0.37022,0.82653,0.99555,1,0.995,0.75943,0.91258,0.91667,0.91747,0.61223,0.84104,1.67959,0.25576,0.47797,0.89424,8.92e-05,8.92e-05,8.92e-05
94,1733.05,0.45537,1.73024,0.30196,0.4503,0.84322,0.99562,1,0.995,0.77039,0.91257,0.91667,0.91653,0.59428,0.83653,1.70368,0.24963,0.47127,0.89331,7.93e-05,7.93e-05,7.93e-05
95,1751.17,0.4112,1.041,0.19431,0.38298,0.81873,0.99557,1,0.995,0.76881,0.91252,0.91667,0.91503,0.5833,0.83012,1.73208,0.25162,0.46668,0.89234,6.94e-05,6.94e-05,6.94e-05
96,1768.54,0.46805,1.51077,0.34407,0.41109,0.8655,0.99558,1,0.995,0.77334,0.91253,0.91667,0.91386,0.57299,0.82764,1.74716,0.2501,0.45759,0.8912,5.95e-05,5.95e-05,5.95e-05
97,1784.69,0.43233,1.30236,0.28832,0.38231,0.82009,0.99558,1,0.995,0.77334,0.91253,0.91667,0.91386,0.57299,0.82764,1.74716,0.2501,0.45759,0.8912,4.96e-05,4.96e-05,4.96e-05
98,1801.09,0.40895,1.22925,0.40152,0.37595,0.77446,0.99561,1,0.995,0.78294,0.91255,0.91667,0.91323,0.55712,0.82562,1.79434,0.24549,0.45643,0.88868,3.97e-05,3.97e-05,3.97e-05
99,1817.54,0.41413,1.20288,0.28115,0.39007,0.83508,0.99573,1,0.995,0.78271,0.91257,0.91667,0.91299,0.54756,0.82754,1.79938,0.24319,0.45394,0.88893,2.98e-05,2.98e-05,2.98e-05
100,1834.09,0.39681,1.54734,0.38681,0.39541,0.83141,0.99571,1,0.995,0.78271,0.91264,0.91667,0.91299,0.54892,0.82705,1.80074,0.2426,0.45407,0.88878,1.99e-05,1.99e-05,1.99e-05
